host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
f,1,t,St. Croix,House,Private room,2,3.5,1,2,85,,2,1125,12,f,flexible
t,7,f,Hennepin,House,Private room,2,1,1,2,85,200,3,1125,113,f,flexible
f,2,f,Hennepin,House,Entire home/apt,3,1,2,1,140,200,3,10,3,f,moderate
f,2,t,Hennepin,Apartment,Entire home/apt,6,1,3,4,120,300,2,90,44,f,moderate
f,1,t,Ramsey,Apartment,Entire home/apt,3,1,1,2,77,400,3,90,40,f,moderate
t,2,f,Washington,Guest suite,Entire home/apt,2,1,1,2,99,,1,6,111,f,moderate
t,4,t,Hennepin,House,Entire home/apt,1,1,1,1,87,0,1,1125,90,f,strict_14_with_grace_period
f,1,t,Dakota,Townhouse,Private room,2,1.5,1,1,42,0,2,29,102,f,moderate
t,3,t,Washington,House,Entire home/apt,12,2,4,7,130,250,2,89,56,f,strict_14_with_grace_period
t,2,t,Ramsey,Loft,Entire home/apt,4,1,1,2,99,100,3,1000,149,f,strict_14_with_grace_period
f,1,t,Scott,House,Entire home/apt,4,3.5,4,3,325,2500,90,365,0,f,moderate
t,1,t,Hennepin,House,Private room,2,1.5,1,1,46,0,1,1125,24,f,flexible
f,2,t,Wright,House,Entire home/apt,8,1.5,3,5,322,500,2,30,23,f,strict_14_with_grace_period
t,7,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,110,500,3,1125,20,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,59,,1,1125,25,f,flexible
f,3,t,Hennepin,House,Private room,2,1,1,1,82,,1,1125,12,f,moderate
f,3,t,Hennepin,House,Private room,1,2.5,1,1,75,,1,1125,2,f,moderate
f,3,t,Hennepin,House,Entire home/apt,9,2.5,4,4,250,,3,7,2,f,strict_14_with_grace_period
t,2,f,Ramsey,House,Private room,3,2,1,2,60,,2,1125,149,t,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,49,100,2,1125,54,f,flexible
t,3,t,Ramsey,House,Entire home/apt,6,1.5,2,4,89,175,2,365,98,f,moderate
f,3,f,Hennepin,Apartment,Private room,2,1,1,1,1500,1000,1,1125,3,f,flexible
t,1,t,Hennepin,House,Entire home/apt,2,1,1,1,100,,2,1125,102,t,moderate
f,2,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,140,200,365,1125,15,f,moderate
t,7,f,Hennepin,Apartment,Entire home/apt,6,2,3,4,120,200,3,1125,113,f,flexible
t,1,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,67,500,2,89,123,f,moderate
t,2,t,Ramsey,House,Private room,1,1.5,1,1,55,100,3,21,98,t,strict_14_with_grace_period
f,1,f,Ramsey,House,Entire home/apt,10,3,4,7,300,400,3,1125,0,f,strict_14_with_grace_period
t,7,f,Hennepin,House,Entire home/apt,5,1,2,2,120,200,3,1125,106,f,flexible
f,15,f,Hennepin,House,Entire home/apt,8,1,2,5,124,200,1,1125,324,f,strict_14_with_grace_period
f,2,t,Ramsey,House,Entire home/apt,6,2,3,4,150,500,1,1125,80,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,6,1,3,3,199,1000,3,14,4,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,2,1,2,2,89,300,2,3,38,f,moderate
f,1,t,Ramsey,Loft,Entire home/apt,3,1,0,2,70,200,2,1125,98,f,moderate
f,3,f,Hennepin,House,Private room,1,1,1,1,78,,1,1125,1,f,strict_14_with_grace_period
f,1,f,Ramsey,House,Entire home/apt,6,2,3,3,200,275,3,1125,0,f,flexible
f,1,t,Hennepin,House,Entire home/apt,8,3.5,4,6,975,1500,4,21,6,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,4,1,2,2,89,,2,1125,139,t,strict_14_with_grace_period
f,1,t,Hennepin,House,Private room,2,1,1,1,58,,1,1125,155,f,moderate
f,3,t,Dakota,Apartment,Entire home/apt,4,1,2,0,85,500,4,1125,0,t,moderate
f,3,t,Hennepin,House,Entire home/apt,7,2,4,4,95,500,3,1125,0,f,moderate
f,3,t,Hennepin,Condominium,Entire home/apt,4,1,2,3,69,,3,1125,0,f,moderate
f,1,t,Hennepin,House,Private room,2,1,1,1,65,0,1,14,39,t,flexible
f,1,t,Hennepin,Apartment,Entire home/apt,3,1,2,2,150,100,1,1125,16,f,moderate
t,4,t,Hennepin,House,Entire home/apt,5,1,1,2,108,500,2,30,371,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,4,1,2,2,55,,1,30,257,f,flexible
f,1,t,Hennepin,Apartment,Private room,2,1,1,1,50,,1,1125,39,f,flexible
t,1,t,Hennepin,Apartment,Entire home/apt,6,1,3,3,130,200,2,1125,177,f,moderate
t,1,t,Hennepin,Apartment,Entire home/apt,6,1,4,4,100,100,2,1125,155,f,moderate
t,52,t,Hennepin,House,Entire home/apt,5,1,2,2,129,200,2,1125,40,f,moderate
t,1,t,Hennepin,Townhouse,Private room,6,1,3,3,53,0,2,1125,283,t,flexible
t,2,t,Hennepin,Guesthouse,Entire home/apt,4,1,1,2,125,500,2,1125,140,t,strict_14_with_grace_period
t,4,t,Hennepin,Loft,Entire home/apt,4,1,1,4,89,200,2,1125,14,f,moderate
f,3,f,Hennepin,Apartment,Entire home/apt,6,1,3,3,750,0,2,12,0,t,flexible
t,4,t,Ramsey,House,Entire home/apt,11,4,4,7,333,2000,2,29,145,t,moderate
f,1,t,Hennepin,House,Entire home/apt,6,2.5,3,3,269,500,1,7,51,f,moderate
t,1,t,Hennepin,House,Entire home/apt,7,1.5,4,4,175,200,2,31,36,t,strict_14_with_grace_period
t,2,t,Dakota,House,Entire home/apt,3,1,2,0,125,300,3,30,48,f,moderate
f,3,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,85,175,30,1125,35,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Entire home/apt,3,1,1,2,129,500,2,14,21,f,strict_14_with_grace_period
t,3,t,Hennepin,Guest suite,Entire home/apt,4,1,2,3,86,500,2,1125,61,f,moderate
f,2,f,Scott,Cabin,Private room,8,3.5,4,6,150,500,2,14,4,f,flexible
t,1,t,Ramsey,Bungalow,Private room,2,1.5,1,1,49,,1,1125,232,f,flexible
f,3,t,Hennepin,House,Entire home/apt,4,1.5,3,3,250,250,2,3,7,f,strict_14_with_grace_period
t,1,f,Hennepin,House,Entire home/apt,2,1,1,1,85,0,5,1125,22,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,2,1,1,1,65,100,1,95,75,f,flexible
t,4,t,Ramsey,House,Private room,2,1,1,1,85,2000,1,29,8,f,moderate
t,4,t,Ramsey,House,Private room,2,1,1,1,75,2000,1,29,14,f,moderate
t,4,t,Ramsey,House,Private room,3,1,1,2,75,2000,1,29,7,f,moderate
t,1,f,Hennepin,House,Entire home/apt,8,1,3,4,200,300,1,120,88,f,moderate
t,1,t,Ramsey,Houseboat,Entire home/apt,4,0.5,2,2,199,300,2,1125,36,f,strict_14_with_grace_period
f,1,t,Wright,House,Entire home/apt,6,3,3,4,950,3000,1,1125,1,f,strict_14_with_grace_period
f,1,t,Ramsey,Apartment,Entire home/apt,3,1,2,1,150,,2,1125,0,f,moderate
f,2,t,Ramsey,Guest suite,Private room,1,1,1,1,42,200,28,365,41,t,flexible
